CODIGO_ENTIDAD,NOMBRE,ESTADO_LICENCIAMIENTO
92,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,LICENCIA DENEGADA
94,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,LICENCIA DENEGADA
99,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,LICENCIA DENEGADA
102,UNIVERSIDAD PERUANA DEL CENTRO,LICENCIA DENEGADA
103,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,LICENCIA DENEGADA
105,UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT S.A.C.,LICENCIA OTORGADA
106,UNIVERSIDAD NACIONAL DE FRONTERA,LICENCIA OTORGADA
111,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,LICENCIA DENEGADA
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,LICENCIA DENEGADA
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,LICENCIA DENEGADA
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,LICENCIA DENEGADA
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,LICENCIA DENEGADA
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,LICENCIA DENEGADA
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,LICENCIA DENEGADA
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,LICENCIA DENEGADA
125,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,LICENCIA OTORGADA
134,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,LICENCIA DENEGADA
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,LICENCIA DENEGADA
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,LICENCIA DENEGADA
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,LICENCIA DENEGADA
143,UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,LICENCIA OTORGADA
144,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,LICENCIA DENEGADA
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,LICENCIA DENEGADA
146,UNIVERSIDAD PRIVADA SISE S.A.C.,LICENCIA DENEGADA
63,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,LICENCIA DENEGADA
87,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,LICENCIA OTORGADA
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,LICENCIA DENEGADA
137,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,LICENCIA DENEGADA
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,LICENCIA DENEGADA
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,LICENCIA DENEGADA
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,LICENCIA DENEGADA
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,LICENCIA DENEGADA
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,LICENCIA DENEGADA
149,FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,LICENCIA OTORGADA
