CODIGO_ENTIDAD,NOMBRE,ESTADO1_LICENCIAMIENTO,ESTADO_LICENCIAMIENTO
112,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,LICENCIA DENEGADA,0
114,UNIVERSIDAD PERUANA AUSTRAL DEL CUSCO S.A.C.,LICENCIA DENEGADA,0
115,UNIVERSIDAD AUTÓNOMA SAN FRANCISCO S.A.C.,LICENCIA DENEGADA,0
116,UNIVERSIDAD SAN ANDRÉS S.A.C.,LICENCIA DENEGADA,0
117,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,LICENCIA DENEGADA,0
118,UNIVERSIDAD PRIVADA JUAN PABLO II S.A.C.,LICENCIA DENEGADA,0
119,UNIVERSIDAD PRIVADA LEONARDO DA VINCI S.A.C.,LICENCIA DENEGADA,0
125,UNIVERSIDAD NACIONAL INTERCULTURAL DE QUILLABAMBA,LICENCIA OTORGADA,1
134,UNIVERSIDAD LATINOAMERICANA CIMA S.A.C.,LICENCIA DENEGADA,0
135,UNIVERSIDAD PRIVADA AUTÓNOMA DEL SUR S.A.C.,LICENCIA DENEGADA,0
140,UNIVERSIDAD SANTO DOMINGO DE GUZMÁN S.A.C.,LICENCIA DENEGADA,0
142,UNIVERSIDAD PRIVADA LÍDER PERUANA S.A.C.,LICENCIA DENEGADA,0
143,UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.,LICENCIA OTORGADA,1
144,UNIVERSIDAD GLOBAL DEL CUSCO S.A.C.,LICENCIA DENEGADA,0
145,UNIVERSIDAD PERUANA SANTO TOMÁS DE AQUINO DE CIENCIA E INTEGRACIÓN S.A.C.,LICENCIA DENEGADA,0
146,UNIVERSIDAD PRIVADA SISE S.A.C.,LICENCIA DENEGADA,0
63,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,LICENCIA DENEGADA,0
87,UNIVERSIDAD AUTÓNOMA DE ICA S.A.C.,LICENCIA OTORGADA,0
110,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,LICENCIA DENEGADA,0
137,UNIVERSIDAD POLITÉCNICA AMAZÓNICA S.A.C.,LICENCIA DENEGADA,0
93,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,LICENCIA DENEGADA,0
107,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,LICENCIA DENEGADA,0
109,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,LICENCIA DENEGADA,0
113,UNIVERSIDAD PERUANA DE INVESTIGACIÓN Y NEGOCIOS S.A.C.,LICENCIA DENEGADA,0
141,UNIVERSIDAD MARÍTIMA DEL PERÚ S.A.C.,LICENCIA DENEGADA,0
149,FACULTAD DE TEOLOGÍA PONTIFICIA Y CIVIL DE LIMA,LICENCIA OTORGADA,1
